Name,Price,Image,Category
Digesense-D (Pack of 3) - 90 Tablets,823.35,https://cdn.medlife.com/productImages/DIGESTB02A/DIGESTB02A.jpg?id=2020-08-17-14:02:48.748000,General medicines
Bactroban Cream,73.75,https://5.imimg.com/data5/RO/MF/MY-770084/skin-care-medicine-500x500.jpeg,SKIN CARE
Lacto Calamine Oil Control,85.0,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQWHbXxHYqBSjwmHFW4ii_Be5ixYgDRvA6KeQ&usqp=CAU,SKIN CARE
Lacto Calamine Oil Balance,78.0,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRzml2kKZO_VJFLPVEoYJXAEgokdl6pC-52rg&usqp=CAU,SKIN CARE
Lacto Calamine Sun Shield,110.0,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS7NlPvGljwJ6nnk2BaOrfZPZiSAow5bi2Mkw&usqp=CAU,SKIN CARE
WoW Aloe Vera Gel 150ml,450.0,https://images-na.ssl-images-amazon.com/images/I/71AqxPkdZ7L._SL1500_.jpg,SKIN CARE
Re'equil Pistop Gel 30g,550.0,https://images-na.ssl-images-amazon.com/images/I/61xf2EiVRNL._SL1500_.jpg,SKIN CARE
Re'equil Under Eye Cream 20g,550.0,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS5KnDz-YhTmtdA_fhla3-En7FKjUWU53CJmQ&usqp=CAU,SKIN CARE
Re'equil Skin Radiance 30g,490.0,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRxV1FaJkZXIBpgh8M30xxWuPwuU4l7lDsmug&usqp=CAU,SKIN CARE
Re'equil Vitamin C Face Toner,585.0,https://images-static.nykaa.com/media/catalog/product/c/2/c2bb2dc8906063411017__1_.jpg,SKIN CARE
Catefil Sun SPF50+,769.0,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ14FL0GIp9Eg9kCHTk4W66A-cic_koOA14aw&usqp=CAU,SKIN CARE
CeraVe Hydrating Sunscreen,496.0,https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1556897063-cerave-hydrating-sunscreen-1556897033.jpg,SKIN CARE
Veena Beauty Vitamin C Serum,1799.0,https://5.imimg.com/data5/HJ/DP/LT/SELLER-83102745/vitamin-serum-500x500.jpeg,SKIN CARE
Evion 200,28.0,https://res.sastasundar.com/incom/images/product/evion-1406055599-10001929.jpg,SKIN CARE
Soframycin Skin Cream,37.5,https://5.imimg.com/data5/YJ/CK/MY-65309054/soframycin-skin-cream-500x500.jpg,SKIN CARE
Aveeno Eczema Therapy,1076.0,https://target.scene7.com/is/image/Target/GUEST_aaff1d29-1c09-48fc-ac71-8301ba3fb6d9?wid=488&hei=488&fmt=pjpeg,SKIN CARE
Zincovit(Syrup),117.0,https://d27zlipt1pllog.cloudfront.net/pub/media/catalog/product/cache//380x/beff4985b56e3afdbeabfc89641a4582/z/i/zin0001.jpg,ESSENTIAL SUPPLEMENTS
Revital H 60S,535.0,https://www.mchemist.com/product_images/1000/revital-h-capsules2_1434534991.JPG,ESSENTIAL SUPPLEMENTS
Limcee 500mg,104.0,https://www.mchemist.com/product_images/1000/revital-h-capsules2_1434534991.JPG,ESSENTIAL SUPPLEMENTS
Becosules Z,34.2,https://medicine-images.s3.amazonaws.com/1232/Becosules-Cap-T.jpg,ESSENTIAL SUPPLEMENTS
Calcium,500.0,https://pics.drugstore.com/prodimg/510444/900.jpg,ESSENTIAL SUPPLEMENTS
B Plex Forte,27.0,https://cdn01.pharmeasy.in/dam/products/023090/beplex-forte-tab-20s-front-2.jpg,ESSENTIAL SUPPLEMENTS
Evion 200,28.0,https://res.sastasundar.com/incom/images/product/evion-1406055599-10001929.jpg,ESSENTIAL SUPPLEMENTS
Accerate D3,614.0,https://ubmidrupalcandd.s3-eu-west-1.amazonaws.com/styles/article_image_620x420/s3/liferay/images/image%20library/products/Accrete.jpg?itok=anCaiu8z,ESSENTIAL SUPPLEMENTS
WHEY Protien Isolate 250g,2420.0,https://pyxis.nymag.com/v1/imgs/64a/911/93b512cb243757a0dc5c0061fd55fc9e1c-protein-powder-01-.rsquare.w600.jpg,ESSENTIAL SUPPLEMENTS
Protienex 400g,348.0,https://images-na.ssl-images-amazon.com/images/I/81vKpesmMNL._SL1500_.jpg,ESSENTIAL SUPPLEMENTS
Auzical,399.0,https://5.imimg.com/data5/AK/PL/MY-7174523/pcd-pharma-500x500.png,ESSENTIAL SUPPLEMENTS
MK-7,578.0,https://foodpharmacy.blog/img-jpg/protocol-for-life-balance-mk-7-vitamin-k2-160-mcg-60-tablets.jpg,ESSENTIAL SUPPLEMENTS
Revital H 60S for Women,334.0,https://res.sastasundar.com/incom/images/product/REVITAL-WOMAN-1420692347-10014116.jpg,ESSENTIAL SUPPLEMENTS
Cit V Forte,900.0,https://tiimg.tistatic.com/fp/1/003/265/cit-v-forte-tablets-662.jpg,ESSENTIAL SUPPLEMENTS
Benedryl Dry Cough,115.0,https://omsi.in/wp-content/uploads/2017/07/BENADRYL-DR-DRY-COUGH-ACTIVE-RELIEF-SYRUP-100-ML.jpg,COLD AND COUGH
Benedryl Congestion Relief,71.0,https://res.sastasundar.com/incom/images/product/BENADRYL-CR-1408541315-10009840.jpg,COLD AND COUGH
Dolo 650,29.0,https://5.imimg.com/data5/EJ/VB/MY-42865263/paracetamol-tablets-500x500.jpg,COLD AND COUGH
Crocin 650,27.0,https://omsi.in/wp-content/uploads/2014/07/crocin-650-tablets.png,COLD AND COUGH
Azithromycin 500,113.0,https://www.practostatic.com/practopedia-v2-images/res-750/d45b51a13aea47affbad5a0a8c71c93646f0016a1.jpg,COLD AND COUGH
Cetirizine,25.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Cetirizine10.JPG/450px-Cetirizine10.JPG,COLD AND COUGH
Mucinac 600,156.0,https://5.imimg.com/data5/HX/CW/MY-10493671/mucinac-600-tablet-500x500.jpg,COLD AND COUGH
Strepsils Honey and Lemon,40.0,https://groceries.morrisons.com/productImages/217/217395011_0_640x640.jpg?identifier=348b69fd6cec61807778764d5acd95df,COLD AND COUGH
Strepsils Orange Flavour,40.0,https://media-services.digital-rb.com/s3/live-productcatalogue/sys-master/images/h0f/h7b/8871857029150/3102192%20Strepsils%20Orange%20Flavour%2016%20Lozenges%202D.jpg?width=1280&height=1280,COLD AND COUGH
Strepsils Cool,40.0,https://newsday.co.ke/wp-content/uploads/2016/12/Strepsils.jpg,COLD AND COUGH
Vicks VapoRub Inhaler 0.5ml,50.0,https://i.pinimg.com/474x/da/c5/38/dac538d770b0be1fd0ef5b976f8851ee.jpg,COLD AND COUGH
Otrivin Nasal Spray 10ml,67.0,https://i-cf3.gskstatic.com/content/dam/cf-consumer-healthcare/Otrivin/en_AU/Products/packshots/Otrivin-Adult-Nasal-Spray.png,COLD AND COUGH
Crocin 120,54.0,https://5.imimg.com/data5/NL/RD/RY/SELLER-67781654/crocin-syrup-500x500.jpg,COLD AND COUGH
Karvol Capsules,68.0,https://images-na.ssl-images-amazon.com/images/I/61xBCSlPnRL._SL1000_.jpg,COLD AND COUGH
HCQS 200,98.0,https://www.practostatic.com/practopedia-v2-images/res-750/71c9b297d76947bfb7f15a81d176d26345122d0e1.jpg,CORONAVIRUS
Dexamethasone,87.0,https://s.abcnews.com/images/Health/dexamethasone_main_200616_hpMain_20200616-164201_1x1_992.jpg,CORONAVIRUS
Methylprednisolone,121.0,https://5.imimg.com/data5/EC/OW/MY-8142050/methylprednisolone-tablets-250x250.jpg,CORONAVIRUS
Cipremi,4000.0,https://www.ciplamed.com/sites/default/files/u311035/cip1.png,CORONAVIRUS
Zincovit(Syrup),117.0,https://d27zlipt1pllog.cloudfront.net/pub/media/catalog/product/cache//380x/beff4985b56e3afdbeabfc89641a4582/z/i/zin0001.jpg,CORONAVIRUS
Revital H 60S,535.0,https://www.mchemist.com/product_images/1000/revital-h-capsules2_1434534991.JPG,CORONAVIRUS
Limcee 500mg,104.0,https://images-na.ssl-images-amazon.com/images/I/41dLdPa9daL.jpg,CORONAVIRUS
Becosules Z,34.2,https://medicine-images.s3.amazonaws.com/1232/Becosules-Cap-T.jpg,CORONAVIRUS
Detol Hand Sanitizer 50ml,4000.0,https://www.gnhindia.com/wp-content/uploads/2018/11/DETTOL-INSTANT-HAND-SANITIZER-ORIGINAL-1.jpg,CORONAVIRUS
Wembley Plastic Pulse Oximeter Fingertip,2500.0,https://images-na.ssl-images-amazon.com/images/I/71ilV-VUlbL._SX466_.jpg,CORONAVIRUS
Leelvis Non Contact Infrared Thermometer,995.0,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSsJ1SSXnqm_A8Ry3TN2vX8c2nbv-bWulTg2Q&usqp=CAU,CORONAVIRUS
Respiratory masks( Set of 40),200.0,https://rukminim1.flixcart.com/image/352/352/kah413k0/mask-respirator/y/g/s/surgical-dust-anti-pollution-3-layer-face-mask-set-of-40-mehan-s-original-imafsyzangy88hf2.jpeg?q=70,CORONAVIRUS
Face Shield,58.0,https://reflectionsipc.files.wordpress.com/2020/06/face-shield.jpg?w=640,CORONAVIRUS
